,Product_Base_cat,Product_Type_cat,Moisture_mu,pH_mu,Viscosity_mu,Amylose,Amylopectin,Total_Carbohydrate,Dietary_Fiber,Bostwick,mu_yield,mu_vol,mu_hole,mu_cell,mu_color_l,mu_color_a,mu_color_b,mu_init_frm,mu_shelf_frm,mu_frez_frm,Water_Activity_Day_1,Water_Activity_Day_7,Firmness,Denseness,euc_dist,cosine_dist,label,Sample_Name,Product_Base,Product_Type,rank_euc,rank_cosine
0,-0.18962526469877614,-0.5983828898273017,0.2881497469351767,0.34101912662313977,-0.3233843713538336,0.626162961612739,-0.2237148182430052,0.09800017660057923,-0.16800173886279446,-0.20432318931877436,-1.0039111599086428,-0.9540481374955282,1.51987997548199,0.9532215349040394,1.424507635373324,-2.973649937343477,0.10256219654572439,-0.24611804222045788,-0.2759348028291252,0.46811356825041983,-0.8185207148917802,0.4923252025207992,0.24720237754896685,0.13185240790848066,8.98242707229951,1.0670747962436247,0,HOMECRAFTÂ® Create GF 10 (Control),Rice and Tapioca,Cook Up,18.0,18.0
1,0.04925331550617566,-0.5983828898273017,0.643077054271204,-0.35406083308361375,-0.34343761349628005,0.4859516044603841,-0.13538986329181105,0.35035513411197455,-0.16800173886279446,0.3729394135138795,-1.2194582436765264,1.6242127525889474,0.16843380750514605,-0.31474983940481815,-0.13178342394850195,0.05557143935417452,0.18191731152385462,-1.2390825319827694,-0.8044523279253168,-1.285109688636357,1.4434880983419023,2.0400660757833826,1.5793485232295104,0.13185240790848066,8.763143085932995,1.0096213687857194,0,NOVATIONÂ® 3600,Tapioca,Cook Up,11.0,12.0
2,0.04925331550617566,-0.5983828898273017,-0.06677756040085057,-0.4930768250249639,-0.704395972060316,0.4859516044603841,-0.13538986329181105,0.35035513411197455,-0.16800173886279446,0.43707970271750773,0.16225383175865674,1.6280806528583196,-0.1727579777223848,0.36201916428188835,-1.1033929193630378,-0.4385568703199105,0.314644008257188,-1.4056755999131567,-0.8793645316933418,-1.5529599093821498,0.312483691725061,1.2661956391520908,0.24720237754896685,0.13185240790848066,8.826558643365585,1.1317752551036842,0,HOMECRAFTÂ® Create 390,Tapioca,Cook Up,14.0,24.0
3,-1.8617753261334387,-0.5983828898273017,0.2881497469351767,-0.006520853230236987,-0.5740498981344142,5.130452810132134,-3.0611539960501277,-1.5558953910894886,4.641196515949201,0.05223796749573848,0.15120013515517486,0.7358171328235574,-0.09119344029517107,0.003960460805361929,0.45161123996486136,-1.2603137331474648,0.2071985870921083,-0.570421347693964,-0.8922859752246077,0.042786837310422154,0.8101256306364661,-1.8834570379372602,1.5793485232295104,0.13185240790848066,13.348664032744875,1.3542454559302703,0,HI-MAIZEÂ®  260,Corn,Cook Up,31.0,32.0
4,-1.8617753261334387,-0.5983828898273017,-0.06677756040085057,-0.35406083308361375,1.3009282421843285,1.1870083902221575,-0.5770146380477834,0.63376916331708,-0.16800173886279446,0.11637825669936669,0.31147873590564906,1.1657647838190899,-1.3804146484148188,-0.41829633941920175,0.4799230398312463,-0.880318321088318,0.3490546333362,-0.06669781578185438,-0.7755403531500902,-0.1884613343910828,0.5160644849160949,-2.1388342820255923,-1.0849437681315766,0.13185240790848066,9.548050903928265,1.2147728927132577,0,MELOJELÂ® ,Corn,Cook Up,23.0,28.0
5,-0.42850384490372795,-0.5983828898273017,0.1994179201011699,0.34101912662313977,-1.4062594470459415,0.6612158009008275,-0.24579605698080415,0.012587729442876092,-0.16800173886279446,-0.3326037677260308,-1.670817521652015,0.7698139404543598,-0.591948191481479,0.03971627281386862,0.41686494012884506,-0.3888754913581139,0.8118424277661831,-0.5114561855219862,-0.4491372041381829,-1.159304210029298,-1.9495251215086213,-1.8292861073730757,-1.0849437681315766,0.13185240790848066,9.587709131236428,1.2475699309992996,0,HOMECRAFTÂ® Create 860,Rice,Cook Up,24.0,31.0
6,-0.18962526469877614,-0.5983828898273017,0.2881497469351767,0.34101912662313977,-0.3233843713538336,0.626162961612739,-0.2237148182430052,0.09800017660057923,-0.16800173886279446,-0.20432318931877436,-1.0039111599086428,-0.9540481374955282,1.51987997548199,0.9532215349040394,1.424507635373324,-2.973649937343477,0.10256219654572439,-0.24611804222045788,-0.2759348028291252,0.46811356825041983,-0.90900106742113,0.6780541073123143,0.24720237754896685,0.13185240790848066,8.993789136035808,1.0638492405702857,0,HOMECRAFTÂ® Create GF 10 (Control),Rice and Tapioca,Cook Up,19.0,16.0
7,-0.9062610053136315,-0.5983828898273017,0.643077054271204,0.6885591064765165,-0.744502456345209,2.0633293724243744,-1.1290456064927488,0.3309432143034057,0.042400684785230354,0.2446588351066231,-2.4390494355939794,1.3160021732294602,0.1736175409186629,1.435636187634452,0.1972340078320492,-1.7114743637194554,-0.2612072685752639,-0.8925393196739655,-1.49694471390524,-0.6147544123763723,-2.0400054740379714,-0.06486151185372907,1.5793485232295104,2.457249420112594,10.813263756419198,1.2369973091026472,0,PURITYÂ® P 1002,Pea Starch,Cook Up,28.0,30.0
8,-0.6673824251086797,-0.5983828898273017,1.9740544567813063,2.0787190258900234,-0.30333112921138716,0.7488478991210492,-0.3009991538253007,0.63376916331708,-0.16800173886279446,-0.011902321707889728,0.4643882055871528,0.567054536859877,2.2727969440520854,-0.20753243501273994,-0.21929262353550524,1.2922349535113276,-0.49857035585498244,-0.2565425361429239,-0.3996894926318296,0.2427809627936402,0.5160644849160949,1.8852919884571242,0.24720237754896685,0.13185240790848066,8.790925955267605,0.9647667231869109,0,N-HANCEÂ® 59,Potato,Cook Up,12.0,10.0
9,-0.6673824251086797,-0.2704555434247692,-1.1315594824089323,-1.049140792790367,1.2407685157569892,-0.30273727952161106,0.36143800830865785,0.5677686359679457,-0.16800173886279446,0.5653602811247641,0.3833277638282813,0.127742495738495,-1.311744991198253,-0.1018578470831837,-0.1279227239667222,-0.06527515812046582,-0.36654591677632237,-0.2565425361429239,-0.31928076929055305,0.6167159017256139,-0.16253815905400978,0.12860609730408953,0.24720237754896685,2.457249420112594,8.021786544667235,0.8696708665650459,0,PENPUREÂ® UM,Potato,DD Instant,5.0,6.0
